,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,rule_len
157,frozenset({'Asahi LOCK Rokka'}),frozenset({'Southeast Asia'}),0.05501365587202497,0.2692157627779945,0.02184939523995318,0.3971631205673759,1.4752595333538905,0.007038851911159881,1.2122420876270914,1,1,2
532,frozenset({'Tsukishima Marina'}),frozenset({'Southeast Asia'}),0.026531408505657432,0.2692157627779945,0.010534529847834569,0.3970588235294118,1.4748721227621484,0.003391856469409432,1.212032393441375,1,1,2
47,frozenset({'Uehara Himari'}),frozenset({'North America'}),0.09676160749122123,0.4194303550526727,0.05501365587202497,0.5685483870967741,1.3555251312828205,0.014428900486514698,1.3456193639900669,1,1,2
74,frozenset({'Kitazawa Hagumi'}),frozenset({'North America'}),0.07140070230198986,0.4194303550526727,0.03784627389777604,0.5300546448087431,1.2637488880416823,0.007898651980242252,1.2353981979693125,1,1,2
51,frozenset({'Yamabuki Saaya'}),frozenset({'Southeast Asia'}),0.15606710885680844,0.2692157627779945,0.05228248146703082,0.33499999999999996,1.244355072463768,0.010266755711588832,1.098923664995497,1,1,2
19,frozenset({'Seta Kaoru'}),frozenset({'North America'}),0.16230979321108077,0.4194303550526727,0.08271556769410847,0.5096153846153846,1.2150178890876564,0.014637913499058977,1.1839067269514125,1,1,2
39,frozenset({'Udagawa Ako'}),frozenset({'North America'}),0.12290284822473664,0.4194303550526727,0.059695669137729224,0.4857142857142857,1.158033222591362,0.008146483869843194,1.1288854207309142,1,1,2
56,frozenset({'Udagawa Tomoe'}),frozenset({'North America'}),0.09090909090909091,0.4194303550526727,0.04408895825204838,0.48497854077253216,1.1562790697674417,0.005958925974532681,1.1272727272727272,1,1,2
14,frozenset({'Matsubara Kanon'}),frozenset({'North America'}),0.18454935622317598,0.4194303550526727,0.08856808427623879,0.4799154334038055,1.1442076798269334,0.011162482270809918,1.1162985449596985,1,1,2
26,frozenset({'Minato Yukina'}),frozenset({'Southeast Asia'}),0.24385485758876316,0.2692157627779945,0.07491221225126804,0.3072,1.1410921739130435,0.009262640758389937,1.054827132248853,1,1,2
50,frozenset({'Hanazono Tae'}),frozenset({'Southeast Asia'}),0.17206398751463128,0.2692157627779945,0.05267264923917284,0.30612244897959184,1.1370896184560781,0.006350311593798057,1.0531890477611257,1,1,2
27,frozenset({'Maruyama Aya'}),frozenset({'Southeast Asia'}),0.24541552867733124,0.2692157627779945,0.07452204447912603,0.30365659777424486,1.1279302320223037,0.00845231572869351,1.0494595552800035,1,1,2
428,frozenset({'Wakana LAYER Rei'}),frozenset({'North America'}),0.026921576277799453,0.4194303550526727,0.012485368708544674,0.463768115942029,1.1057094708459723,0.0011936424117696392,1.0826839324693402,1,1,2
64,frozenset({'Ushigome Rimi'}),frozenset({'North America'}),0.08973858759266484,0.4194303550526727,0.03979711275848615,0.44347826086956527,1.057334681496461,0.0021580251025693706,1.043211080764729,1,1,2
57,frozenset({'Wakamiya Eve'}),frozenset({'North America'}),0.09949278189621537,0.4194303550526727,0.04369879047990636,0.4392156862745098,1.0471719106247148,0.001968497643998625,1.035281534696283,1,1,2
9,frozenset({'Maruyama Aya'}),frozenset({'North America'}),0.24541552867733124,0.4194303550526727,0.10768630511119781,0.43879173290937995,1.0461611269272006,0.004751582782625399,1.0344994523282405,1,1,2
4,frozenset({'Aoba Moca'}),frozenset({'North America'}),0.26570425282871635,0.4194303550526727,0.11626999609832228,0.43759177679882527,1.0433002083119898,0.00482556699536868,1.0322922407549084,1,1,2
55,frozenset({'Yamato Maya'}),frozenset({'North America'}),0.10612563402262973,0.4194303550526727,0.046429964884900504,0.4375,1.0430813953488371,0.001917652526598916,1.032123813239693,1,1,2
28,frozenset({'Shirasagi Chisato'}),frozenset({'North America'}),0.1681623097932111,0.4194303550526727,0.07335154116269996,0.43619489559164726,1.0399697836292017,0.0028191638596558877,1.0297346377460825,1,1,2
45,frozenset({'Hazawa Tsugumi'}),frozenset({'North America'}),0.129535700351151,0.4194303550526727,0.05618415918845104,0.43373493975903615,1.0341047912580554,0.0018529543981711527,1.025261287885706,1,1,2
3,frozenset({'Okusawa Misaki'}),frozenset({'North America'}),0.27155676941084667,0.4194303550526727,0.1166601638704643,0.42959770114942525,1.024240844693932,0.002761011659516116,1.0178248687237776,1,1,2
38,frozenset({'Toyama Kasumi'}),frozenset({'North America'}),0.14319157237612173,0.4194303550526727,0.060085836909871244,0.4196185286103542,1.0004486407705468,2.6944867604031253e-05,1.0003242239233292,1,1,2
18,frozenset({'Ichigaya Arisa'}),frozenset({'North America'}),0.2017167381974249,0.4194303550526727,0.08388607101053452,0.41586073500967113,0.9914893617021275,-0.0007200521116784153,0.9938890941647954,1,1,2
31,frozenset({'Hikawa Hina'}),frozenset({'North America'}),0.16543113538821694,0.4194303550526727,0.06866952789699571,0.4150943396226415,0.9896621325142605,-0.00071731195565089,0.9925868123293013,1,1,2
29,frozenset({'Tsurumaki Kokoro'}),frozenset({'North America'}),0.17206398751463128,0.4194303550526727,0.07062036675770582,0.4104308390022676,0.9785434794072668,-0.0015484926173346125,0.9847354362375822,1,1,2
13,frozenset({'Shirokane Rinko'}),frozenset({'North America'}),0.23761217323449083,0.4194303550526727,0.09715177526336324,0.4088669950738916,0.9748149845343108,-0.0025099829212164165,0.9821303160358955,1,1,2
2,frozenset({'Imai Lisa'}),frozenset({'North America'}),0.29535700351150995,0.4194303550526727,0.12017167381974249,0.40686922060766184,0.9700519185278486,-0.003710019030383621,0.9788223189869194,1,1,2
1,frozenset({'Hikawa Sayo'}),frozenset({'North America'}),0.3296917674600078,0.4194303550526727,0.1314865392118611,0.3988165680473373,0.9508528966561166,-0.006796195871833166,0.9657113188592353,1,1,2
32,frozenset({'Hanazono Tae'}),frozenset({'North America'}),0.17206398751463128,0.4194303550526727,0.06827936012485368,0.3968253968253968,0.9461055740125507,-0.003889499250186751,0.9625233587284636,1,1,2
252,frozenset({'Tamade CHU2 Chiyu'}),frozenset({'North America'}),0.0425282871634803,0.4194303550526727,0.016777214202106906,0.3944954128440367,0.9405504587155963,-0.001060440382653658,0.9588195651402831,1,1,2
33,frozenset({'Mitake Ran'}),frozenset({'North America'}),0.1701131486539212,0.4194303550526727,0.0647678501755755,0.38073394495412843,0.9077405589929591,-0.006582768163466757,0.9375124636927212,1,1,2
40,frozenset({'Yamabuki Saaya'}),frozenset({'North America'}),0.15606710885680844,0.4194303550526727,0.0593055013655872,0.37999999999999995,0.9059906976744184,-0.006153781514268077,0.9364026531408504,1,1,2
15,frozenset({'Minato Yukina'}),frozenset({'North America'}),0.24385485758876316,0.4194303550526727,0.08739758095981272,0.3584,0.8544922790697673,-0.01488254853996114,0.9048778755413457,1,1,2
229,frozenset({'Asahi LOCK Rokka'}),frozenset({'North America'}),0.05501365587202497,0.4194303550526727,0.017557549746390948,0.3191489361702128,0.7609104403760515,-0.005516847468758034,0.852711666016387,1,1,2
