,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'Aoba Moca'}),frozenset({'Okusawa Misaki'}),0.3499804916113929,0.3312524385485759,0.14202106905969566,0.4057971014492754,1.2250388351171881,0.02608917776899236,1.125453213174348
1,frozenset({'Okusawa Misaki'}),frozenset({'Aoba Moca'}),0.3312524385485759,0.3499804916113929,0.14202106905969566,0.4287396937573616,1.2250388351171881,0.02608917776899236,1.1378692012823246
2,frozenset({'Aoba Moca'}),frozenset({'Ushigome Yuri'}),0.3499804916113929,0.3281310963714397,0.11158798283261803,0.31884057971014496,0.9716865705078496,-0.0032514995884437847,0.9863607308589504
3,frozenset({'Ushigome Yuri'}),frozenset({'Aoba Moca'}),0.3281310963714397,0.3499804916113929,0.11158798283261803,0.3400713436385256,0.9716865705078497,-0.0032514995884437847,0.9849845163149885
4,frozenset({'Maruyama Aya'}),frozenset({'Ushigome Yuri'}),0.30003901677721423,0.3281310963714397,0.10846664065548185,0.3615084525357607,1.1017195765150471,0.01001450912616575,1.0522753297156067
5,frozenset({'Ushigome Yuri'}),frozenset({'Maruyama Aya'}),0.3281310963714397,0.30003901677721423,0.10846664065548185,0.33055885850178357,1.1017195765150471,0.01001450912616575,1.0455900300006444
6,frozenset({'Okusawa Misaki'}),frozenset({'Ushigome Yuri'}),0.3312524385485759,0.3281310963714397,0.10807647288333984,0.32626619552414604,0.994316598250162,-0.000617752953317327,0.9972319915745589
7,frozenset({'Ushigome Yuri'}),frozenset({'Okusawa Misaki'}),0.3281310963714397,0.3312524385485759,0.10807647288333984,0.32936979785969084,0.994316598250162,-0.000617752953317327,0.9971927290437015
8,frozenset({'Okusawa Misaki'}),frozenset({'Ichigaya Arisa'}),0.3312524385485759,0.27155676941084667,0.10690596956691377,0.3227326266195524,1.1884536236004493,0.01695212749519749,1.075562265687289
9,frozenset({'Ichigaya Arisa'}),frozenset({'Okusawa Misaki'}),0.27155676941084667,0.3312524385485759,0.10690596956691377,0.3936781609195402,1.1884536236004495,0.01695212749519749,1.102958063436472
10,frozenset({'Aoba Moca'}),frozenset({'Ichigaya Arisa'}),0.3499804916113929,0.27155676941084667,0.10573546625048771,0.3021181716833891,1.112541485667423,0.01069589459167794,1.0437916578889306
11,frozenset({'Ichigaya Arisa'}),frozenset({'Aoba Moca'}),0.27155676941084667,0.3499804916113929,0.10573546625048771,0.38936781609195403,1.1125414856674227,0.01069589459167794,1.064502536090519
12,frozenset({'Okusawa Misaki'}),frozenset({'Hikawa Sayo'}),0.3312524385485759,0.2758486149044089,0.10534529847834569,0.31802120141342755,1.1528830823516476,0.013969772121013205,1.061838559492499
13,frozenset({'Hikawa Sayo'}),frozenset({'Okusawa Misaki'}),0.2758486149044089,0.3312524385485759,0.10534529847834569,0.3818953323903819,1.1528830823516476,0.013969772121013205,1.081932553652533
14,frozenset({'Matsubara Kanon'}),frozenset({'Ushigome Yuri'}),0.2500975419430355,0.3281310963714397,0.0963714397190792,0.38533541341653665,1.1743337272135357,0.014306659081508827,1.093065906664739
15,frozenset({'Hikawa Sayo'}),frozenset({'Ushigome Yuri'}),0.2758486149044089,0.3281310963714397,0.09403043308622708,0.3408769448373409,1.0388437688681387,0.003515924645100324,1.0193375855480518
16,frozenset({'Maruyama Aya'}),frozenset({'Matsubara Kanon'}),0.30003901677721423,0.2500975419430355,0.09364026531408505,0.3120936280884265,1.2478876268184667,0.018601244731098573,1.090122854907005
17,frozenset({'Matsubara Kanon'}),frozenset({'Maruyama Aya'}),0.2500975419430355,0.30003901677721423,0.09364026531408505,0.3744149765990639,1.2478876268184664,0.018601244731098573,1.1188902499895401
18,frozenset({'Maruyama Aya'}),frozenset({'Aoba Moca'}),0.30003901677721423,0.3499804916113929,0.09364026531408505,0.3120936280884265,0.8917457846049467,-0.011367537280203344,0.9449243893210565
19,frozenset({'Maruyama Aya'}),frozenset({'Ichigaya Arisa'}),0.30003901677721423,0.27155676941084667,0.09325009754194304,0.3107932379713914,1.1444871679894772,0.011772471448715918,1.0569298949491677
20,frozenset({'Ichigaya Arisa'}),frozenset({'Maruyama Aya'}),0.27155676941084667,0.30003901677721423,0.09325009754194304,0.34339080459770116,1.1444871679894772,0.011772471448715918,1.0660237293721202
21,frozenset({'Maruyama Aya'}),frozenset({'Okusawa Misaki'}),0.30003901677721423,0.3312524385485759,0.09168942645337495,0.30559167750325095,0.922534121838436,-0.007699229513794328,0.9630465819403468
22,frozenset({'Hikawa Sayo'}),frozenset({'Aoba Moca'}),0.2758486149044089,0.3499804916113929,0.08934841982052283,0.32390381895332393,0.92549106797923,-0.007193214034043993,0.9614305280977933
23,frozenset({'Imai Lisa'}),frozenset({'Okusawa Misaki'}),0.23800234100663284,0.3312524385485759,0.08856808427623879,0.37213114754098364,1.1234065148969858,0.009729228437521942,1.065107082207229
24,frozenset({'Imai Lisa'}),frozenset({'Aoba Moca'}),0.23800234100663284,0.3499804916113929,0.08778774873195475,0.36885245901639346,1.053922912440375,0.004491572421791018,1.029901039265066
25,frozenset({'Ichigaya Arisa'}),frozenset({'Ushigome Yuri'}),0.27155676941084667,0.3281310963714397,0.08583690987124463,0.3160919540229885,0.9633099621414025,-0.003269310602622727,0.9823965481627689
26,frozenset({'Hikawa Hina'}),frozenset({'Aoba Moca'}),0.19586422161529457,0.3499804916113929,0.0850565743269606,0.4342629482071713,1.2408204417558306,0.016507917756956994,1.1489781451094394
27,frozenset({'Hanazono Tae'}),frozenset({'Aoba Moca'}),0.2243464689816621,0.3499804916113929,0.0850565743269606,0.3791304347826087,1.0832901943676991,0.006539686821478388,1.0469501885810901
28,frozenset({'Imai Lisa'}),frozenset({'Maruyama Aya'}),0.23800234100663284,0.30003901677721423,0.08232539992196644,0.34590163934426227,1.1528555287897844,0.010915411535661071,1.0701157888869657
29,frozenset({'Imai Lisa'}),frozenset({'Ushigome Yuri'}),0.23800234100663284,0.3281310963714397,0.0815450643776824,0.34262295081967215,1.0441648310949105,0.003449095284206699,1.0220449656195056
30,frozenset({'Matsubara Kanon'}),frozenset({'Aoba Moca'}),0.2500975419430355,0.3499804916113929,0.07608271556769411,0.30421216848673943,0.8692260733907616,-0.011446545112330411,0.9342208629531326
31,frozenset({'Yamabuki Saaya'}),frozenset({'Okusawa Misaki'}),0.2001560671088568,0.3312524385485759,0.07608271556769411,0.3801169590643275,1.1475144476818273,0.009780530247592886,1.0788286132848446
32,frozenset({'Hanazono Tae'}),frozenset({'Ushigome Yuri'}),0.2243464689816621,0.3281310963714397,0.07491221225126804,0.33391304347826084,1.0176208447500388,0.0012971594172540568,1.0086804688940527
33,frozenset({'Yamabuki Saaya'}),frozenset({'Ushigome Yuri'}),0.2001560671088568,0.3281310963714397,0.07452204447912603,0.37231968810916183,1.1346674918237596,0.008844614733301379,1.0703998371473649
34,frozenset({'Hanazono Tae'}),frozenset({'Okusawa Misaki'}),0.2243464689816621,0.3312524385485759,0.074131876706984,0.33043478260869563,0.9975316228811388,-0.00018343822295401047,0.9987788255443347
35,frozenset({'Shirasagi Chisato'}),frozenset({'Ushigome Yuri'}),0.1946937182988685,0.3281310963714397,0.07257120561841592,0.3727454909819639,1.1359651526596592,0.008686142376375952,1.0711264629733277
36,frozenset({'Yamabuki Saaya'}),frozenset({'Imai Lisa'}),0.2001560671088568,0.23800234100663284,0.07062036675770582,0.3528265107212476,1.4824497491451765,0.02298275421911719,1.1774240935650524
37,frozenset({'Hikawa Hina'}),frozenset({'Okusawa Misaki'}),0.19586422161529457,0.3312524385485759,0.06984003121342178,0.3565737051792829,1.0764409969075406,0.004959530178936758,1.0393537951969503
38,frozenset({'Hazawa Tsugumi'}),frozenset({'Hikawa Sayo'}),0.16894264533749512,0.2758486149044089,0.06866952789699571,0.4064665127020785,1.473512973204282,0.022066933182360887,1.2200682869509378
39,frozenset({'Shirasagi Chisato'}),frozenset({'Okusawa Misaki'}),0.1946937182988685,0.3312524385485759,0.06710885680842762,0.34468937875751504,1.0405640491819919,0.0026160878518379366,1.0205046885757205
40,frozenset({'Shirasagi Chisato'}),frozenset({'Hikawa Sayo'}),0.1946937182988685,0.2758486149044089,0.06515801794771751,0.3346693386773547,1.213235523380566,0.011452025424385476,1.0884082565141566
41,frozenset({'Hazawa Tsugumi'}),frozenset({'Ushigome Yuri'}),0.16894264533749512,0.3281310963714397,0.06515801794771751,0.3856812933025404,1.1753878177579205,0.009722682509233943,1.0936813356058896
42,frozenset({'Minato Yukina'}),frozenset({'Aoba Moca'}),0.16777214202106905,0.3499804916113929,0.0647678501755755,0.38604651162790704,1.1030515153872082,0.006050873432345331,1.0587438962390192
43,frozenset({'Yamabuki Saaya'}),frozenset({'Aoba Moca'}),0.2001560671088568,0.3499804916113929,0.06359734685914943,0.31773879142300193,0.9078757217582542,-0.006453371906611216,0.9527428794381583
44,frozenset({'Hikawa Hina'}),frozenset({'Hikawa Sayo'}),0.19586422161529457,0.2758486149044089,0.06359734685914943,0.3247011952191235,1.1770992409428764,0.00956847261724024,1.0723421690796069
45,frozenset({'Yamato Maya'}),frozenset({'Okusawa Misaki'}),0.14280140460397972,0.3312524385485759,0.06320717908700742,0.4426229508196721,1.3362103921682211,0.0159038655837773,1.1998118014275552
46,frozenset({'Mitake Ran'}),frozenset({'Okusawa Misaki'}),0.17167381974248927,0.3312524385485759,0.06320717908700742,0.3681818181818182,1.1114840989399295,0.006339807662359198,1.0584493778367863
47,frozenset({'Shirokane Rinko'}),frozenset({'Ushigome Yuri'}),0.18181818181818182,0.3281310963714397,0.06281701131486539,0.34549356223175964,1.0529131985731273,0.0031568119746036225,1.026527570789866
48,frozenset({'Yamabuki Saaya'}),frozenset({'Hikawa Sayo'}),0.2001560671088568,0.2758486149044089,0.06203667577058135,0.30994152046783624,1.1235928104088604,0.006823901893889289,1.0494058207741193
49,frozenset({'Tsurumaki Kokoro'}),frozenset({'Aoba Moca'}),0.17362465860319937,0.3499804916113929,0.06164650799843933,0.3550561797752809,1.0145027745418562,0.0008812646246313602,1.0078699694527185
50,frozenset({'Shirokane Rinko'}),frozenset({'Aoba Moca'}),0.18181818181818182,0.3499804916113929,0.06164650799843933,0.3390557939914163,0.9687848383500557,-0.001986308658177567,0.9834710743801652
51,frozenset({'Mitake Ran'}),frozenset({'Ushigome Yuri'}),0.17167381974248927,0.3281310963714397,0.06164650799843933,0.35909090909090907,1.0943519619500595,0.005314989308063407,1.0483060907679664
52,frozenset({'Yamabuki Saaya'}),frozenset({'Maruyama Aya'}),0.2001560671088568,0.30003901677721423,0.06125634022629731,0.3060428849902534,1.0200102915865012,0.0012017106489618026,1.0086516415541829
53,frozenset({'Minato Yukina'}),frozenset({'Maruyama Aya'}),0.16777214202106905,0.30003901677721423,0.06125634022629731,0.36511627906976746,1.2168959990322679,0.010918151691688603,1.1025026475670254
54,frozenset({'Minato Yukina'}),frozenset({'Ushigome Yuri'}),0.16777214202106905,0.3281310963714397,0.060866172454155286,0.3627906976744186,1.1056272986201368,0.005814915552197007,1.054392804964529
55,frozenset({'Tsurumaki Kokoro'}),frozenset({'Maruyama Aya'}),0.17362465860319937,0.30003901677721423,0.060476004682013265,0.34831460674157305,1.1608977075145015,0.00838183282642984,1.0740780604625506
56,frozenset({'Tsurumaki Kokoro'}),frozenset({'Ushigome Yuri'}),0.17362465860319937,0.3281310963714397,0.0593055013655872,0.3415730337078652,1.0409651431548852,0.002333851781002469,1.0204152290604416
57,frozenset({'Shirokane Rinko'}),frozenset({'Matsubara Kanon'}),0.18181818181818182,0.2500975419430355,0.05813499804916114,0.3197424892703863,1.2784711388455539,0.012662717695881953,1.1023802695726985
58,frozenset({'Hazawa Tsugumi'}),frozenset({'Maruyama Aya'}),0.16894264533749512,0.30003901677721423,0.05774483027701912,0.3418013856812933,1.139189793889668,0.007055445078215469,1.0634494938086536
