,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
81,"frozenset({'Udagawa Ako', 'Imai Lisa'})",frozenset({'Hikawa Sayo'}),0.03355442840421381,0.3296917674600078,0.016777214202106906,0.5,1.5165680473372782,0.005714595395411366,1.3406164650799846
82,"frozenset({'Udagawa Ako', 'Hikawa Sayo'})",frozenset({'Imai Lisa'}),0.03394459617635583,0.29535700351150995,0.016777214202106906,0.4942528735632184,1.6734083420641066,0.006751439990050189,1.3932713794204235
83,"frozenset({'Yamabuki Saaya', 'Hikawa Sayo'})",frozenset({'Imai Lisa'}),0.046429964884900504,0.29535700351150995,0.016777214202106906,0.3613445378151261,1.2234161828535908,0.0030637989005580634,1.103322586606978
84,"frozenset({'Mitake Ran', 'Minato Yukina'})",frozenset({'Hikawa Sayo'}),0.05111197815060476,0.3296917674600078,0.016777214202106906,0.3282442748091603,0.9956095577939383,-7.398421274327702e-05,0.9978452098038522
85,"frozenset({'Mitake Ran', 'Hikawa Sayo'})",frozenset({'Minato Yukina'}),0.04760046820132657,0.24385485758876316,0.016777214202106906,0.3524590163934426,1.4453639344262297,0.005169608807713966,1.1677178148629228
86,"frozenset({'Udagawa Ako', 'Minato Yukina'})",frozenset({'Hikawa Sayo'}),0.030823253999219664,0.3296917674600078,0.016777214202106906,0.5443037974683544,1.6509474945696954,0.006615041112235423,1.470954176962761
87,"frozenset({'Udagawa Ako', 'Hikawa Sayo'})",frozenset({'Minato Yukina'}),0.03394459617635583,0.24385485758876316,0.016777214202106906,0.4942528735632184,2.0268321839080463,0.008499659535613581,1.4951051679494909
88,"frozenset({'Maruyama Aya', 'Shirasagi Chisato'})",frozenset({'Hikawa Sayo'}),0.05462348809988295,0.3296917674600078,0.016387046429964885,0.30000000000000004,0.9099408284023671,-0.0016218679065162257,0.9575831893428461
89,"frozenset({'Aoba Moca', 'Shirokane Rinko'})",frozenset({'Minato Yukina'}),0.05228248146703082,0.24385485758876316,0.015996878657822865,0.30597014925373134,1.2547223880597016,0.0032475415852929145,1.0894994525065134
90,"frozenset({'Yamabuki Saaya', 'Toyama Kasumi'})",frozenset({'Ichigaya Arisa'}),0.03628560280920796,0.2017167381974249,0.015606710885680842,0.43010752688172044,2.132235186456189,0.008287297443480095,1.400761195238481
91,"frozenset({'Ichigaya Arisa', 'Toyama Kasumi'})",frozenset({'Yamabuki Saaya'}),0.047990635973468594,0.15606710885680844,0.015606710885680842,0.3252032520325203,2.0837398373983738,0.008116951077102051,1.2506475374772599
92,"frozenset({'Yamabuki Saaya', 'Ichigaya Arisa'})",frozenset({'Toyama Kasumi'}),0.0296527506827936,0.14319157237612173,0.015606710885680842,0.5263157894736842,3.6756059085042305,0.01136068689013451,1.8088177916504096
93,"frozenset({'Mitake Ran', 'Hikawa Sayo'})",frozenset({'Aoba Moca'}),0.04760046820132657,0.26570425282871635,0.015216543113538821,0.31967213114754095,1.2031125875640931,0.002568896275808273,1.0793262789746578
94,"frozenset({'Maruyama Aya', 'Hikawa Hina'})",frozenset({'Imai Lisa'}),0.048380803745610615,0.29535700351150995,0.015216543113538821,0.31451612903225806,1.0648676865385436,0.0009269338917568329,1.0279497831126208
95,"frozenset({'Imai Lisa', 'Hikawa Hina'})",frozenset({'Maruyama Aya'}),0.04603979711275848,0.24541552867733124,0.015216543113538821,0.3305084745762712,1.3467300800301798,0.003917661964914131,1.1271008558996825
96,"frozenset({'Maruyama Aya', 'Yamabuki Saaya'})",frozenset({'Imai Lisa'}),0.03784627389777604,0.29535700351150995,0.015216543113538821,0.4020618556701031,1.3612741559874164,0.004038381061015816,1.1784546665410955
97,"frozenset({'Seta Kaoru', 'Hikawa Sayo'})",frozenset({'Okusawa Misaki'}),0.03901677721420211,0.27155676941084667,0.01443620756925478,0.37,1.362514367816092,0.0038409375961433213,1.156259096173259
98,"frozenset({'Udagawa Ako', 'Minato Yukina', 'Hikawa Sayo'})",frozenset({'Shirokane Rinko'}),0.016777214202106906,0.23761217323449083,0.01443620756925478,0.8604651162790697,3.621300645358384,0.010449737241871593,5.463779425152815
99,"frozenset({'Udagawa Ako', 'Shirokane Rinko', 'Hikawa Sayo'})",frozenset({'Minato Yukina'}),0.017167381974248927,0.24385485758876316,0.01443620756925478,0.8409090909090909,3.4484000000000004,0.010249858082752408,4.7529123237277755
100,"frozenset({'Udagawa Ako', 'Minato Yukina', 'Shirokane Rinko'})",frozenset({'Hikawa Sayo'}),0.01833788529067499,0.3296917674600078,0.01443620756925478,0.7872340425531915,2.387787989424651,0.008390357756293265,3.1504486929379643
101,"frozenset({'Shirokane Rinko', 'Minato Yukina', 'Hikawa Sayo'})",frozenset({'Udagawa Ako'}),0.03940694498634413,0.12290284822473664,0.01443620756925478,0.36633663366336633,2.9807009272355804,0.009592981790597581,1.3841689426453374
102,"frozenset({'Udagawa Ako', 'Hikawa Sayo'})","frozenset({'Minato Yukina', 'Shirokane Rinko'})",0.03394459617635583,0.0795942255169723,0.01443620756925478,0.4252873563218391,5.343193599278792,0.011734413726111358,1.6015060476004683
