,Male,Female,Other
Poppin'Party,0.39046887009992315,0.31328806983511154,0.2765957446808511
Roselia,0.7617217524980784,0.6973811833171678,0.6028368794326241
RAISE A SUILEN,0.23520368946963874,0.30746847720659554,0.3049645390070922
Afterglow,0.21368178324365872,0.22017458777885549,0.2907801418439716
Pastel*Palettes,0.15449654112221367,0.16779825412221144,0.14893617021276595
"Hello, Happy World!",0.12759415833973867,0.18525703200775945,0.3049645390070922
Glitter*Green,0.010760953112990008,0.004849660523763337,0.0070921985815602835
