,Under 13,14-19,20-24,25-29,30-34,35-39,40+
Poppin'Party,0.34285714285714286,0.34812880765883375,0.352112676056338,0.33653846153846156,0.27586206896551724,0.5238095238095238,0.42857142857142855
Roselia,0.6,0.72236727589208,0.7226435536294691,0.7532051282051282,0.7816091954022989,0.6666666666666666,0.42857142857142855
RAISE A SUILEN,0.14285714285714285,0.24978241949521324,0.29360780065005415,0.2692307692307692,0.3448275862068966,0.23809523809523808,0.14285714285714285
Afterglow,0.2857142857142857,0.2193211488250653,0.218851570964247,0.21794871794871795,0.26436781609195403,0.14285714285714285,0.14285714285714285
Pastel*Palettes,0.2857142857142857,0.16971279373368145,0.1495124593716143,0.15384615384615385,0.09195402298850575,0.19047619047619047,0.0
"Hello, Happy World!",0.22857142857142856,0.1784160139251523,0.1560130010834236,0.125,0.19540229885057472,0.047619047619047616,0.5714285714285714
Glitter*Green,0.05714285714285714,0.008703220191470844,0.005417118093174431,0.009615384615384616,0.011494252873563218,0.0,0.0
