,North America,Southeast Asia,Europe,South America,Oceania,East Asia,South Asia,Middle East,Central America,Other,North/Central Asia,Africa
Poppin'Party,385,268,129,36,24,12,10,7,6,7,4,0
Roselia,759,528,327,111,58,18,11,16,17,6,5,0
RAISE A SUILEN,267,172,163,26,24,8,8,8,5,5,1,0
Afterglow,241,126,116,43,23,2,3,4,5,2,1,1
Pastel*Palettes,192,108,62,9,18,7,2,2,5,2,2,1
"Hello, Happy World!",197,89,79,29,16,5,4,0,0,1,3,0
Glitter*Green,8,6,5,0,0,1,0,1,0,0,0,0
