,Male,Female,Other
Poppin'Party,0.36587240584166025,0.24733268671193018,0.20567375886524822
Roselia,0.5380476556495004,0.4306498545101843,0.3120567375886525
RAISE A SUILEN,0.0568793235972329,0.06595538312318137,0.09219858156028368
Afterglow,0.3220599538816295,0.37536372453928224,0.3120567375886525
Pastel*Palettes,0.3051498847040738,0.31037827352085356,0.2765957446808511
"Hello, Happy World!",0.27209838585703305,0.39670223084384093,0.6170212765957447
Glitter*Green,0.005380476556495004,0.004849660523763337,0.0070921985815602835
