,Under 13,14-19,20-24,25-29,30-34,35-39,40+
Poppin'Party,0.2857142857142857,0.29416884247171454,0.3076923076923077,0.33653846153846156,0.28735632183908044,0.47619047619047616,0.2857142857142857
Roselia,0.4857142857142857,0.45691906005221933,0.48212351029252437,0.5673076923076923,0.4827586206896552,0.5714285714285714,0.14285714285714285
RAISE A SUILEN,0.05714285714285714,0.05221932114882506,0.07583965330444203,0.060897435897435896,0.05747126436781609,0.047619047619047616,0.0
Afterglow,0.45714285714285713,0.36553524804177545,0.3250270855904659,0.30128205128205127,0.39080459770114945,0.047619047619047616,0.42857142857142855
Pastel*Palettes,0.17142857142857143,0.3002610966057441,0.3131094257854821,0.30448717948717946,0.2988505747126437,0.42857142857142855,0.2857142857142857
"Hello, Happy World!",0.42857142857142855,0.3803307223672759,0.3271939328277356,0.25961538461538464,0.3793103448275862,0.19047619047619047,0.5714285714285714
Glitter*Green,0.0,0.006962576153176675,0.004333694474539545,0.003205128205128205,0.0,0.047619047619047616,0.0
