,Under 13,14-19,20-24,25-29,30-34,35-39,40+
Poppin'Party,12,400,325,105,24,11,3
Roselia,21,830,667,235,68,14,3
RAISE A SUILEN,5,287,271,84,30,5,1
Afterglow,10,252,202,68,23,3,1
Pastel*Palettes,10,195,138,48,8,4,0
"Hello, Happy World!",8,205,144,39,17,1,4
Glitter*Green,2,10,5,3,1,0,0
