,Male,Female,Other
Poppin'Party,476,255,29
Roselia,700,444,44
RAISE A SUILEN,74,68,13
Afterglow,419,387,44
Pastel*Palettes,397,320,39
"Hello, Happy World!",354,409,87
Glitter*Green,7,5,1
