,Male,Female,Other
Anime,911,623,75
Music,881,677,83
Lives,532,333,35
Seiyuu,524,303,28
Livestreams,371,196,18
Story/Universe,615,511,65
TV Programs,384,163,16
Merchandise,295,226,34
Game,1179,935,126
Weiss Schwarz,57,27,4
Radios,259,120,11
Manga,147,95,6
Other,21,27,6
