,Under 13,14-19,20-24,25-29,30-34,35-39,40+
Poppin'Party,10,338,284,105,25,10,2
Roselia,17,525,445,177,42,12,1
RAISE A SUILEN,2,60,70,19,5,1,0
Afterglow,16,420,300,94,34,1,3
Pastel*Palettes,6,345,289,95,26,9,2
"Hello, Happy World!",15,437,302,81,33,4,4
Glitter*Green,0,8,4,1,0,1,0
