,Male,Female,Other
Thumbs,0.7638230647709321,0.6861386138613862,0.6911764705882353
Index Fingers,0.3222748815165877,0.4207920792079208,0.40441176470588236
Multiple Fingers,0.06872037914691943,0.08712871287128712,0.10294117647058823
Non-Index Fingers,0.019747235387045814,0.032673267326732675,0.029411764705882353
Stylus,0.011848341232227487,0.00891089108910891,0.029411764705882353
Other,0.005529225908372828,0.0029702970297029703,0.014705882352941176
Keyboard,0.0039494470774091624,0.0019801980198019802,0.014705882352941176
