,Male,Female,Other
Poppin'Party,508,323,39
Roselia,991,719,85
RAISE A SUILEN,306,317,43
Afterglow,278,227,41
Pastel*Palettes,201,173,21
"Hello, Happy World!",166,191,43
Glitter*Green,14,5,1
