,Under 13,14-19,20-24,25-29,30-34,35-39,40+
Anime,19,737,596,206,61,15,5
Music,24,765,618,189,58,15,6
Lives,11,379,347,133,37,11,2
Seiyuu,3,358,345,121,31,13,2
Livestreams,6,227,249,91,19,6,1
Story/Universe,18,575,443,135,42,11,2
TV Programs,8,223,226,86,22,8,1
Merchandise,5,216,236,73,25,7,1
Game,33,1050,830,279,76,17,6
Weiss Schwarz,2,44,22,15,6,1,0
Radios,5,164,157,56,14,4,0
Manga,5,132,89,22,6,0,0
Other,2,32,18,5,1,0,0
