,North America,Southeast Asia,Europe,South America,Oceania,East Asia,South Asia,Middle East,Central America,Other,North/Central Asia,Africa
Poppin'Party,305,244,135,33,24,11,8,4,11,4,2,0
Roselia,502,362,215,68,35,12,11,9,11,3,3,0
RAISE A SUILEN,61,43,30,8,5,1,4,3,1,2,1,0
Afterglow,393,216,158,52,31,7,4,9,3,4,3,1
Pastel*Palettes,331,204,142,33,35,9,2,4,9,5,3,0
"Hello, Happy World!",401,197,175,44,32,12,7,8,2,6,3,1
Glitter*Green,4,6,4,0,0,0,0,0,0,0,0,0
