,North America,Southeast Asia,Europe,South America,Oceania,East Asia,South Asia,Middle East,Central America,Other,North/Central Asia,Africa
Poppin'Party,0.2837209302325581,0.3536231884057971,0.28969957081545067,0.25,0.26666666666666666,0.36666666666666664,0.42105263157894735,0.21052631578947367,0.5789473684210527,0.2857142857142857,0.25,0.0
Roselia,0.4669767441860465,0.5246376811594203,0.4613733905579399,0.5151515151515151,0.3888888888888889,0.4,0.5789473684210527,0.47368421052631576,0.5789473684210527,0.21428571428571427,0.375,0.0
RAISE A SUILEN,0.05674418604651163,0.06231884057971015,0.06437768240343347,0.06060606060606061,0.05555555555555555,0.03333333333333333,0.21052631578947367,0.15789473684210525,0.05263157894736842,0.14285714285714285,0.125,0.0
Afterglow,0.3655813953488372,0.3130434782608696,0.33905579399141633,0.3939393939393939,0.34444444444444444,0.23333333333333334,0.21052631578947367,0.47368421052631576,0.15789473684210525,0.2857142857142857,0.375,1.0
Pastel*Palettes,0.30790697674418605,0.2956521739130435,0.30472103004291845,0.25,0.3888888888888889,0.3,0.10526315789473684,0.21052631578947367,0.47368421052631576,0.35714285714285715,0.375,0.0
"Hello, Happy World!",0.3730232558139535,0.2855072463768116,0.37553648068669526,0.3333333333333333,0.35555555555555557,0.4,0.3684210526315789,0.42105263157894735,0.10526315789473684,0.42857142857142855,0.375,1.0
Glitter*Green,0.0037209302325581397,0.008695652173913044,0.008583690987124463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
