,North America,Southeast Asia,Europe,South America,Oceania,East Asia,South Asia,Middle East,Central America,Other,North/Central Asia,Africa
Poppin'Party,0.3581395348837209,0.3884057971014493,0.27682403433476394,0.2727272727272727,0.26666666666666666,0.4,0.5263157894736842,0.3684210526315789,0.3157894736842105,0.5,0.5,0.0
Roselia,0.706046511627907,0.7652173913043478,0.7017167381974249,0.8409090909090909,0.6444444444444445,0.6,0.5789473684210527,0.8421052631578947,0.8947368421052632,0.42857142857142855,0.625,0.0
RAISE A SUILEN,0.2483720930232558,0.2492753623188406,0.3497854077253219,0.19696969696969696,0.26666666666666666,0.26666666666666666,0.42105263157894735,0.42105263157894735,0.2631578947368421,0.35714285714285715,0.125,0.0
Afterglow,0.2241860465116279,0.1826086956521739,0.24892703862660945,0.32575757575757575,0.25555555555555554,0.06666666666666667,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.14285714285714285,0.125,1.0
Pastel*Palettes,0.1786046511627907,0.1565217391304348,0.13304721030042918,0.06818181818181818,0.2,0.23333333333333334,0.10526315789473684,0.10526315789473684,0.2631578947368421,0.14285714285714285,0.25,1.0
"Hello, Happy World!",0.18325581395348836,0.1289855072463768,0.16952789699570817,0.2196969696969697,0.17777777777777778,0.16666666666666666,0.21052631578947367,0.0,0.0,0.07142857142857142,0.375,0.0
Glitter*Green,0.0074418604651162795,0.008695652173913044,0.01072961373390558,0.0,0.0,0.03333333333333333,0.0,0.05263157894736842,0.0,0.0,0.0,0.0
