,Under 13,14-19,20-24,25-29,30-34,35-39,40+
Thumbs,0.6571428571428571,0.7345132743362832,0.7555803571428571,0.6542372881355932,0.7325581395348837,0.47619047619047616,0.42857142857142855
Index Fingers,0.37142857142857144,0.38672566371681416,0.33705357142857145,0.38305084745762713,0.3372093023255814,0.42857142857142855,0.7142857142857143
Multiple Fingers,0.17142857142857143,0.07787610619469026,0.06473214285714286,0.07457627118644068,0.13953488372093023,0.09523809523809523,0.0
Non-Index Fingers,0.0,0.02654867256637168,0.020089285714285716,0.04067796610169491,0.03488372093023256,0.047619047619047616,0.0
Other,0.0,0.005309734513274336,0.006696428571428571,0.0,0.0,0.0,0.0
Stylus,0.08571428571428572,0.009734513274336283,0.0078125,0.013559322033898305,0.023255813953488372,0.0,0.0
Keyboard,0.0,0.004424778761061947,0.0033482142857142855,0.0,0.011627906976744186,0.0,0.0
