,North America,Southeast Asia,Europe,South America,Oceania,East Asia,South Asia,Middle East,Central America,Other,North/Central Asia,Africa
Thumbs,759,545,296,90,59,18,10,12,14,9,4,1
Index Fingers,383,242,179,45,28,11,9,10,4,5,4,0
Multiple Fingers,77,55,31,3,7,4,4,5,3,0,3,0
Non-Index Fingers,35,16,9,1,1,2,0,0,0,0,0,0
Stylus,14,9,4,1,0,1,0,0,0,0,0,0
Other,4,6,2,0,0,0,0,0,0,1,0,0
Keyboard,2,5,1,1,0,0,0,0,0,0,0,0
