Where are you from?,Female,Male,Other
Africa,0,1,0
Central America,9,8,2
East Asia,9,21,0
Europe,238,183,32
Middle East,11,5,3
North America,477,493,79
North/Central Asia,2,5,1
Oceania,32,51,3
Other,7,4,0
South America,35,91,4
South Asia,11,8,0
Southeast Asia,200,431,17
