How old are you?.1,Female,Male,Other
14-19,0.5139765554553652,0.42831379621280435,0.057709648331830475
20-24,0.34961154273029965,0.5837957824639289,0.06659267480577137
25-29,0.28618421052631576,0.6776315789473685,0.03618421052631579
30-34,0.27906976744186046,0.7093023255813954,0.011627906976744186
35-39,0.3333333333333333,0.6666666666666666,0.0
40+,0.0,1.0,0.0
Under 13,0.6774193548387096,0.1935483870967742,0.12903225806451613
