Where are you from?,14-19,20-24,25-29,30-34,35-39,40+,Under 13
Africa,1,0,0,0,0,0,0
Central America,8,7,3,0,0,0,1
East Asia,9,13,4,3,1,0,0
Europe,199,173,68,13,7,0,5
Middle East,12,4,3,0,0,0,0
North America,480,356,146,48,6,6,17
North/Central Asia,3,2,0,1,0,0,1
Oceania,40,34,11,1,2,1,0
Other,9,3,0,0,0,0,0
South America,47,63,17,4,1,0,0
South Asia,16,2,1,0,0,0,0
Southeast Asia,325,266,59,17,4,0,11
