What is your gender?.1,I used to,No,Yes
Female,0.22376237623762377,0.21683168316831683,0.5594059405940595
Male,0.26540284360189575,0.3791469194312796,0.35545023696682465
Other,0.19852941176470587,0.20588235294117646,0.5955882352941176
